,BATT,CHRG,CO,CO2,NO2,O3,PM1,PM10,PM25,RH,RUN,SD,SO2,T,raw1,raw2,raw3,raw4,raw5,raw6,raw7,raw8,stat2
2024-01-31 16:00:00,4.03785714285714,52.3580952380952,609.05880952381,239.976190476191,61.5869047619048,19.3680952380952,7.79761904761905,14.5059523809524,11.8452380952381,71.4738095238095,103.604047619048,1,-50.9042857142857,20.3809523809524,-59.9285714285714,290.690476190476,15,-8.61904761904762,2.19047619047619,-13.1190476190476,2.35714285714286,-33.6666666666667,0
2024-01-31 17:00:00,4.00926829268293,1.7680487804878,609.44756097561,285.487804878049,66.1646341463415,24.8673170731707,8.8109756097561,16.3719512195122,13.25,72.9878048780488,98.7829268292683,1,-59.1736585365854,19.0243902439025,-40.8536585365854,346.365853658537,12.9756097560976,-16.9268292682927,1.80487804878049,-16.4146341463415,2.92682926829268,-39.8536585365854,0
2024-01-31 18:00:00,3.98428571428571,0,710.517380952381,362.190476190476,68.7547619047619,23.5264285714286,9.73809523809524,17.8690476190476,14.5476190476191,75.7761904761905,108.473571428572,1,-51.3892857142857,17.9904761904762,-34.547619047619,449.547619047619,12,-14.6904761904762,0.880952380952381,-18.8095238095238,1.45238095238095,-42.8333333333333,0
2024-01-31 19:00:00,3.96642857142857,0,840.959285714285,404.571428571429,64.7614285714286,18.2847619047619,9.41071428571429,16.7440476190476,13.9166666666667,77.2785714285714,103.985952380952,1,-33.7514285714286,17.6404761904762,-38.0238095238095,553.452380952381,11.5714285714286,-6.07142857142857,0.357142857142857,-16.9285714285714,0.428571428571429,-36.6190476190476,0
2024-01-31 20:00:00,3.94756097560976,0,677.325853658537,461.19512195122,62.9095121951219,21.8721951219512,8.5,16.2012195121951,12.859756097561,78.760975609756,107.03243902439,1,-41.6729268292683,17.2,-42.3414634146342,399.634146341463,11,-11.3414634146342,0.097560975609756,-16.2682926829268,0.048780487804878,-38.0975609756098,0
2024-01-31 21:00:00,3.92809523809524,0,573.673333333333,478.285714285714,62.535,27.29,8.46428571428571,16.1964285714286,12.7619047619048,79.1214285714285,105.82619047619,1,-51.1916666666667,17.1285714285714,-49.1190476190476,293.690476190476,11,-16.4761904761905,-0.047619047619048,-16.5,0,-42.3571428571429,0
2024-01-31 22:00:00,3.91463414634146,0,586.595853658537,545.853658536585,59.6617073170732,19.9758536585366,8.39634146341463,15.9207317073171,12.7134146341463,80.0731707317073,106.6,1,-38.6746341463415,16.7268292682927,-46.8292682926829,310.390243902439,10.6341463414634,-10.4878048780488,0.073170731707317,-14.6341463414634,0.24390243902439,-32.8536585365854,0
2024-01-31 23:00:00,3.89536585365854,0,554.696829268293,628.170731707317,60.9787804878049,18.8731707317073,8.02439024390244,15.469512195122,12.2987804878049,82,105.381951219512,1,-35.0446341463415,16.1560975609756,-48.219512195122,280.487804878049,10,-9.95121951219512,-0.024390243902439,-16.0731707317073,0.097560975609756,-33.6585365853659,0
2024-02-01 00:00:00,3.87928571428571,0,546.950238095238,770.166666666667,61.5314285714286,21.1338095238095,8.91071428571429,16.9226190476191,13.7738095238095,83.5714285714285,107.514285714286,1,-35.7492857142857,15.8261904761905,-49.2619047619048,271.666666666667,10,-10.3571428571429,-0.095238095238095,-16.7619047619048,-0.214285714285714,-36.5,0
2024-02-01 01:00:00,3.85952380952381,0,546.994761904762,864.952380952381,59.1847619047619,20.9733333333333,9.11309523809524,17.1964285714286,13.9226190476191,84.4095238095239,110.545,1,-33.9038095238095,15.7833333333333,-48.5476190476191,273.285714285714,10,-9.5,-0.309523809523809,-15.5476190476191,-0.238095238095238,-34.5,0
